ws,wy,wd,uq.cm,slc.mg_l,don.mg_l,doc.mg_l,ssn,,,,,,,
9,2001,318,0.17,10.61,0.04,1.66,Summer,,,,,,,
9,2001,360,0.06,10.67,0.05,1.65,Fall,,,,,,,
9,2002,100,13.76,8.3,0.02,1.93,Winter,,,,,,,
9,2002,331,0.12,11.53,0.04,1.54,Summer,,,,,,,
9,2002,352,0.08,11.225,0.04,1.76,Fall,,,,,,,
9,2003,8,0.17,10.92,0.04,2.06,Fall,,,,,,,
9,2003,29,0.2,10.41,0.03,1.56,Fall,,,,,,,
9,2003,50,2.38,8.83,0.07,3.48,Fall,,,,,,,
9,2003,71,0.57,8.79,0.06,2.46,Fall,,,,,,,
9,2003,92,13.65,7.38,0.07,3.99,Winter,,,,,,,
9,2003,113,7.91,7.81,0.04,2.56,Winter,,,,,,,
9,2003,176,24.18,8.34,0.03,2.15,Spring,,,,,,,
9,2003,218,6.27,9.1,0.03,1.95,Spring,,,,,,,
9,2003,239,2.42,9.78,0.04,1.23,Spring,,,,,,,
9,2003,260,1.17,10.81,0.03,1.48,Summer,,,,,,,
9,2003,280,0.64,10.85,0.04,1.19,Summer,,,,,,,14910
9,2003,344,0.13,11.66,0.08,1.93,Summer,,,,,,,
9,2004,21,0.48,10.52,0.05,2.55,Fall,,,,,,,
9,2004,64,7.51,7.97,0.08,4.21,Fall,,,,,,,
9,2004,85,17.4,7.55,0.07,2.97,Winter,,,,,,,
9,2004,105,21.87,7.75,0.06,2.5,Winter,,,,,,,
9,2004,126,29.26,8.19,0.05,1.93,Winter,,,,,,,
9,2004,168,8.6,9.03,0.03,1.68,Spring,,,,,,,
9,2004,189,2.26,9.89,0.04,1.23,Spring,,,,,,,
9,2004,210,4.22,9.26,0.03,1.97,Spring,,,,,,,
9,2004,231,0.97,10,0.02,1.63,Spring,,,,,,,
9,2004,252,2.97,9.46,0.13,2.35,Spring,,,,,,,
9,2004,274,1.45,10.16,0.09,1.74,Summer,,,,,,,
9,2004,294,0.55,10.94,0.08,1.41,Summer,,,,,,,
